202.004, 129.083, 8.333, 17.942 False
201.726, 129.084, 8.333, 17.975 False
201.449, 129.086, 8.333, 18.008 False
201.171, 129.087, 8.333, 18.041 False
200.893, 129.088, 8.333, 18.074 False
200.615, 129.090, 8.333, 18.107 False
200.337, 129.092, 8.333, 18.140 False
200.060, 129.093, 8.333, 18.173 False
199.782, 129.095, 8.333, 18.206 False
199.504, 129.097, 8.333, 18.239 False
199.226, 129.098, 8.333, 18.272 False
198.949, 129.100, 8.333, 18.305 False
198.671, 129.102, 8.333, 18.338 False
198.393, 129.104, 8.333, 18.371 False
198.115, 129.106, 8.333, 18.404 False
197.837, 129.108, 8.333, 18.437 False
197.560, 129.110, 8.333, 18.470 False
197.282, 129.112, 8.333, 18.503 False
197.004, 129.114, 8.333, 18.536 False
196.726, 129.116, 8.333, 18.569 False
196.449, 129.119, 8.333, 18.602 False
196.171, 129.121, 8.333, 18.635 False
195.893, 129.123, 8.333, 18.668 False
195.615, 129.126, 8.333, 18.701 False
195.337, 129.128, 8.333, 18.734 False
195.060, 129.130, 8.333, 18.767 False
194.782, 129.133, 8.333, 18.800 False
194.504, 129.135, 8.333, 18.833 False
194.226, 129.138, 8.333, 18.866 False
193.949, 129.140, 8.333, 18.899 False
193.671, 129.143, 8.333, 18.932 False
193.393, 129.146, 8.333, 18.965 False
193.115, 129.148, 8.333, 18.998 False
192.838, 129.151, 8.333, 19.031 False
192.560, 129.154, 8.333, 19.064 False
192.282, 129.157, 8.333, 19.097 False
192.004, 129.160, 8.333, 19.130 False
191.726, 129.162, 8.333, 19.163 False
191.449, 129.165, 8.333, 19.196 False
191.171, 129.168, 8.333, 19.229 False
190.893, 129.171, 8.333, 19.262 False
190.615, 129.174, 8.333, 19.295 False
190.338, 129.177, 8.333, 19.328 False
190.060, 129.180, 8.333, 19.361 False
189.782, 129.183, 8.333, 19.394 False
189.505, 129.186, 8.333, 19.427 False
189.227, 129.189, 8.333, 19.460 False
188.949, 129.192, 8.333, 19.493 False
188.671, 129.195, 8.333, 19.526 False
188.394, 129.199, 8.333, 19.559 False
188.116, 129.202, 8.333, 19.592 False
187.838, 129.205, 8.333, 19.625 False
187.560, 129.209, 8.333, 19.658 False
187.283, 129.212, 8.333, 19.691 False
187.005, 129.216, 8.333, 19.724 False
186.727, 129.219, 8.333, 19.757 False
186.449, 129.223, 8.333, 19.790 False
186.172, 129.226, 8.333, 19.823 False
185.894, 129.230, 8.333, 19.856 False
185.616, 129.233, 8.333, 19.889 False
185.338, 129.237, 8.333, 19.922 False
185.061, 129.240, 8.333, 19.955 False
184.783, 129.244, 8.333, 19.988 False
184.505, 129.247, 8.333, 20.021 False
184.228, 129.251, 8.333, 20.054 False
183.950, 129.254, 8.333, 20.087 False
183.672, 129.258, 8.333, 20.120 False
183.394, 129.261, 8.333, 20.153 False
183.117, 129.265, 8.333, 20.186 False
182.839, 129.269, 8.333, 20.219 False
182.561, 129.272, 8.333, 20.252 False
182.283, 129.276, 8.333, 20.285 False
182.006, 129.279, 8.333, 20.318 False
181.728, 129.283, 8.333, 20.351 False
181.450, 129.287, 8.333, 20.384 False
181.172, 129.290, 8.333, 20.417 False
180.895, 129.294, 8.333, 20.450 False
180.617, 129.297, 8.333, 20.483 False
180.339, 129.301, 8.333, 20.516 False
180.062, 129.304, 8.333, 20.549 False
179.784, 129.308, 8.333, 20.582 False
179.506, 129.312, 8.333, 20.615 False
179.228, 129.315, 8.333, 20.648 False
178.951, 129.319, 8.333, 20.681 False
178.673, 129.322, 8.330, 20.714 False
178.396, 129.326, 8.310, 20.747 False
178.120, 129.329, 8.281, 20.780 False
177.845, 129.333, 8.228, 20.813 False
177.574, 129.336, 8.143, 20.846 False
177.306, 129.340, 8.033, 20.879 False
177.042, 129.343, 7.903, 20.912 False
176.783, 129.346, 7.756, 20.945 False
176.530, 129.350, 7.596, 20.978 False
176.282, 129.353, 7.428, 21.011 False
176.040, 129.356, 7.257, 21.044 False
